latitude,longitude,name,desc,color,source,precision
39.953126,-75.214153,1003 S 46th St Philadelphia,"South 46th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,451 University Ave Philadelphia,US,,MapQuest Open,country
39.934637,-75.232723,4823 Springfield Ave Philadelphia,"Springfield Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953126,-75.214153,1003 S 46th St Philadelphia,"South 46th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953126,-75.214153,1217 S 46th St Philadelphia,"South 46th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956858,-75.196048,3701 Market St Philadelphia,"3701 Market Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.947335,-75.193241,3400 Civic Center Blvd Philadelphia,"3400 Civic Center Boulevard, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.951243,-75.198958,3730 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3330 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.949948,-75.194096,3400 Spruce St Philadelphia,"3400 Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956471,-75.221454,2929 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.948146,-75.195366,515 Osler Cir Philadelphia,"Osler Circle, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953049,-75.201755,3901 Locust Walk Philadelphia,"3901 Locust Walk, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.952992,-75.190622,3333 Walnut St Philadelphia,"3333 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.951243,-75.198958,4000 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.954925,-75.190403,3000 Ludlow St Philadelphia,"Ludlow Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956471,-75.221454,3330 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.947741,-75.160724,4103 Locust St Philadelphia,"Locust Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951243,-75.198958,4000 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.95082,-75.197305,3700 Spruce St Philadelphia,"3700 Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.958495,-75.199329,51 N 39th St Philadelphia,"51 North 39th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.952852,-75.195786,3620 Walnut St Philadelphia,"3620 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956471,-75.221454,3611 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,41st& Walnut St Philadelphia,US,,MapQuest Open,country
39.947795,-75.230284,4000 Baltimore Ave Philadelphia,"Baltimore Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,37th& Spruce St Philadelphia,US,,MapQuest Open,country
39.953335,-75.183643,4600 Chestnut St Philadelphia,"Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.947335,-75.193241,3400 Civic Center Blvd Philadelphia,"3400 Civic Center Boulevard, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.950762,-75.203294,104 S 40th St Philadelphia,"South 40th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,400 Blk S 48th St Philadelphia,US,,MapQuest Open,country
39.78373,-100.445882,3000 Blk Ludlow St Philadelphia,US,,MapQuest Open,country
39.928846,-75.238403,4200 Chester Ave Philadelphia,"Chester Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.78373,-100.445882,3700 Blk Spruce St Philadelphia,US,,MapQuest Open,country
39.944036,-75.211661,4732 Upland St Philadelphia,"Upland Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
